# HSK COORS  :  [0.0, 0.19050548316614385, 0.32521320216614386, 0.45992092116614386]
# HSK SYMBOL :  ['M', 'Γ', 'X', 'M']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.00000000    -13.59930700    0.000000    0.000000    -13.45610400    0.000000    0.000000  
  0.00095733    -13.59938600    0.000000    0.000000    -13.45618900    0.000000    0.000000  
  0.00191462    -13.59962200    0.000000    0.000000    -13.45644400    0.000000    0.000000  
  0.00287195    -13.60001300    0.000000    0.000000    -13.45686900    0.000000    0.000000  
  0.00382927    -13.60056200    0.000000    0.000000    -13.45746500    0.000000    0.000000  
  0.00478656    -13.60126800    0.000000    0.000000    -13.45823100    0.000000    0.000000  
  0.00574389    -13.60212900    0.000000    0.000000    -13.45916500    0.000000    0.000000  
  0.00670118    -13.60314700    0.000000    0.000000    -13.46026900    0.000000    0.000000  
  0.00765851    -13.60431900    0.000000    0.000000    -13.46154100    0.000000    0.000000  
  0.00861584    -13.60564600    0.000000    0.000000    -13.46298000    0.000000    0.000000  
  0.00957313    -13.60712700    0.000000    0.000000    -13.46458700    0.000000    0.000000  
  0.01053046    -13.60876300    0.000000    0.000000    -13.46636100    0.000000    0.000000  
  0.01148779    -13.61055100    0.000000    0.000000    -13.46830000    0.000000    0.000000  
  0.01244508    -13.61249200    0.000000    0.000000    -13.47040400    0.000000    0.000000  
  0.01340240    -13.61458300    0.000000    0.000000    -13.47267200    0.000000    0.000000  
  0.01435969    -13.61682600    0.000000    0.000000    -13.47510300    0.000000    0.000000  
  0.01531702    -13.61921700    0.000000    0.000000    -13.47769500    0.000000    0.000000  
  0.01627435    -13.62175800    0.000000    0.000000    -13.48044900    0.000000    0.000000  
  0.01723164    -13.62444500    0.000000    0.000000    -13.48336200    0.000000    0.000000  
  0.01818897    -13.62728000    0.000000    0.000000    -13.48643300    0.000000    0.000000  
  0.01914630    -13.63026000    0.000000    0.000000    -13.48966200    0.000000    0.000000  
  0.02010359    -13.63338500    0.000000    0.000000    -13.49304700    0.000000    0.000000  
  0.02106091    -13.63665300    0.000000    0.000000    -13.49658600    0.000000    0.000000  
  0.02201820    -13.64006200    0.000000    0.000000    -13.50027700    0.000000    0.000000  
  0.02297553    -13.64361100    0.000000    0.000000    -13.50411900    0.000000    0.000000  
  0.02393286    -13.64729800    0.000000    0.000000    -13.50811000    0.000000    0.000000  
  0.02489015    -13.65112300    0.000000    0.000000    -13.51224900    0.000000    0.000000  
  0.02584748    -13.65508400    0.000000    0.000000    -13.51653300    0.000000    0.000000  
  0.02680481    -13.65917800    0.000000    0.000000    -13.52096200    0.000000    0.000000  
  0.02776210    -13.66340600    0.000000    0.000000    -13.52553400    0.000000    0.000000  
  0.02871943    -13.66776400    0.000000    0.000000    -13.53024700    0.000000    0.000000  
  0.02967672    -13.67225200    0.000000    0.000000    -13.53509700    0.000000    0.000000  
  0.03063404    -13.67686700    0.000000    0.000000    -13.54008500    0.000000    0.000000  
  0.03159137    -13.68160700    0.000000    0.000000    -13.54520600    0.000000    0.000000  
  0.03254866    -13.68646900    0.000000    0.000000    -13.55046000    0.000000    0.000000  
  0.03350599    -13.69145600    0.000000    0.000000    -13.55584500    0.000000    0.000000  
  0.03446332    -13.69656200    0.000000    0.000000    -13.56135800    0.000000    0.000000  
  0.03542061    -13.70178600    0.000000    0.000000    -13.56699700    0.000000    0.000000  
  0.03637794    -13.70712600    0.000000    0.000000    -13.57275800    0.000000    0.000000  
  0.03733523    -13.71258000    0.000000    0.000000    -13.57864300    0.000000    0.000000  
  0.03829255    -13.71814800    0.000000    0.000000    -13.58464700    0.000000    0.000000  
  0.03924988    -13.72382500    0.000000    0.000000    -13.59076800    0.000000    0.000000  
  0.04020717    -13.72960900    0.000000    0.000000    -13.59700300    0.000000    0.000000  
  0.04116450    -13.73550100    0.000000    0.000000    -13.60335200    0.000000    0.000000  
  0.04212183    -13.74149500    0.000000    0.000000    -13.60980900    0.000000    0.000000  
  0.04307912    -13.74759100    0.000000    0.000000    -13.61637400    0.000000    0.000000  
  0.04403645    -13.75378600    0.000000    0.000000    -13.62304400    0.000000    0.000000  
  0.04499378    -13.76007900    0.000000    0.000000    -13.62981700    0.000000    0.000000  
  0.04595107    -13.76646500    0.000000    0.000000    -13.63668900    0.000000    0.000000  
  0.04690839    -13.77294600    0.000000    0.000000    -13.64366000    0.000000    0.000000  
  0.04786568    -13.77951600    0.000000    0.000000    -13.65072500    0.000000    0.000000  
  0.04882301    -13.78617700    0.000000    0.000000    -13.65788500    0.000000    0.000000  
  0.04978034    -13.79292200    0.000000    0.000000    -13.66513300    0.000000    0.000000  
  0.05073763    -13.79975100    0.000000    0.000000    -13.67247000    0.000000    0.000000  
  0.05169496    -13.80666100    0.000000    0.000000    -13.67989100    0.000000    0.000000  
  0.05265229    -13.81364900    0.000000    0.000000    -13.68739400    0.000000    0.000000  
  0.05360958    -13.82071500    0.000000    0.000000    -13.69497700    0.000000    0.000000  
  0.05456690    -13.82785400    0.000000    0.000000    -13.70263800    0.000000    0.000000  
  0.05552419    -13.83506600    0.000000    0.000000    -13.71037300    0.000000    0.000000  
  0.05648152    -13.84234700    0.000000    0.000000    -13.71818100    0.000000    0.000000  
  0.05743885    -13.84969600    0.000000    0.000000    -13.72605800    0.000000    0.000000  
  0.05839614    -13.85710900    0.000000    0.000000    -13.73400200    0.000000    0.000000  
  0.05935347    -13.86458500    0.000000    0.000000    -13.74201100    0.000000    0.000000  
  0.06031080    -13.87212200    0.000000    0.000000    -13.75008100    0.000000    0.000000  
